run_id,case_name,region_name,window_start_local,window_end_local,window_start_utc,window_end_utc,window_duration_hours,forecasted_grid_emissions_gco2_per_kwh,forecasted_electricity_price_usd_per_kwh,projected_electricity_cost_usd,projected_carbon_cost_usd,projected_total_cost_usd,projected_emissions_total,meets_deadline,meets_latency_requirement,meets_policy_constraints,balanced_score,window_rank,selected_window
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 21:45:00 PDT,2026-03-27 05:40:00 PDT,2026-03-27 04:45:00 UTC,2026-03-27 12:40:00 UTC,8.0,914.40625,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.194575,True,True,True,0.2785043910896728,55,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 21:50:00 PDT,2026-03-27 05:45:00 PDT,2026-03-27 04:50:00 UTC,2026-03-27 12:45:00 UTC,8.0,914.7020833333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.1952849999999997,True,True,True,0.2892088500245003,57,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 21:55:00 PDT,2026-03-27 05:50:00 PDT,2026-03-27 04:55:00 UTC,2026-03-27 12:50:00 UTC,8.0,914.9979166666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.195995,True,True,True,0.29991330895933455,59,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:00:00 PDT,2026-03-27 05:55:00 PDT,2026-03-27 05:00:00 UTC,2026-03-27 12:55:00 UTC,8.0,915.2937499999999,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.196705,True,True,True,0.3106177678941688,61,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:05:00 PDT,2026-03-27 06:00:00 PDT,2026-03-27 05:05:00 UTC,2026-03-27 13:00:00 UTC,8.0,915.4833333333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.19716,True,True,True,0.3174776676340904,63,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:10:00 PDT,2026-03-27 06:05:00 PDT,2026-03-27 05:10:00 UTC,2026-03-27 13:05:00 UTC,8.0,915.6947916666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.1976674999999997,True,True,True,0.3251290942670841,64,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:15:00 PDT,2026-03-27 06:10:00 PDT,2026-03-27 05:15:00 UTC,2026-03-27 13:10:00 UTC,8.0,915.9125,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.1981899999999994,True,True,True,0.3330066714409526,67,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:20:00 PDT,2026-03-27 06:15:00 PDT,2026-03-27 05:20:00 UTC,2026-03-27 13:15:00 UTC,8.0,916.1802083333333,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.1988324999999995,True,True,True,0.34269345294183995,68,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:25:00 PDT,2026-03-27 06:20:00 PDT,2026-03-27 05:25:00 UTC,2026-03-27 13:20:00 UTC,8.0,916.3927083333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.1993424999999998,True,True,True,0.3503825713316517,70,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:30:00 PDT,2026-03-27 06:25:00 PDT,2026-03-27 05:30:00 UTC,2026-03-27 13:25:00 UTC,8.0,916.6385416666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.1999325,True,True,True,0.35927782593947377,72,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:35:00 PDT,2026-03-27 06:30:00 PDT,2026-03-27 05:35:00 UTC,2026-03-27 13:30:00 UTC,8.0,916.9333333333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2006399999999995,True,True,True,0.36994459311748323,74,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:40:00 PDT,2026-03-27 06:35:00 PDT,2026-03-27 05:40:00 UTC,2026-03-27 13:35:00 UTC,8.0,917.2052083333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2012924999999997,True,True,True,0.37978214164562274,76,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:45:00 PDT,2026-03-27 06:40:00 PDT,2026-03-27 05:45:00 UTC,2026-03-27 13:40:00 UTC,8.0,917.4822916666668,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2019574999999993,True,True,True,0.389808148957819,78,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:50:00 PDT,2026-03-27 06:45:00 PDT,2026-03-27 05:50:00 UTC,2026-03-27 13:45:00 UTC,8.0,917.7541666666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2026099999999995,True,True,True,0.3996456974859585,80,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 22:55:00 PDT,2026-03-27 06:50:00 PDT,2026-03-27 05:55:00 UTC,2026-03-27 13:50:00 UTC,8.0,918.1822916666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2036374999999997,True,True,True,0.415137009536016,82,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:00:00 PDT,2026-03-27 06:55:00 PDT,2026-03-27 06:00:00 UTC,2026-03-27 13:55:00 UTC,8.0,918.5645833333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.204555,True,True,True,0.4289698842863135,84,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:05:00 PDT,2026-03-27 07:00:00 PDT,2026-03-27 06:05:00 UTC,2026-03-27 14:00:00 UTC,8.0,918.9239583333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2054174999999994,True,True,True,0.4419735403867142,86,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:10:00 PDT,2026-03-27 07:05:00 PDT,2026-03-27 06:10:00 UTC,2026-03-27 14:05:00 UTC,8.0,919.2916666666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2062999999999997,True,True,True,0.4552787305416326,89,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:15:00 PDT,2026-03-27 07:10:00 PDT,2026-03-27 06:15:00 UTC,2026-03-27 14:10:00 UTC,8.0,919.709375,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2073025,True,True,True,0.4703931250235632,91,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:20:00 PDT,2026-03-27 07:15:00 PDT,2026-03-27 06:20:00 UTC,2026-03-27 14:15:00 UTC,8.0,920.0625,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.20815,True,True,True,0.48317063058309573,93,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:25:00 PDT,2026-03-27 07:20:00 PDT,2026-03-27 06:25:00 UTC,2026-03-27 14:20:00 UTC,8.0,920.4010416666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2089624999999997,True,True,True,0.49542045154724923,95,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:30:00 PDT,2026-03-27 07:25:00 PDT,2026-03-27 06:30:00 UTC,2026-03-27 14:25:00 UTC,8.0,920.7541666666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2098099999999996,True,True,True,0.5081979571067818,97,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:35:00 PDT,2026-03-27 07:30:00 PDT,2026-03-27 06:35:00 UTC,2026-03-27 14:30:00 UTC,8.0,921.1072916666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2106574999999995,True,True,True,0.5209754626663143,99,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:40:00 PDT,2026-03-27 07:35:00 PDT,2026-03-27 06:40:00 UTC,2026-03-27 14:35:00 UTC,8.0,921.4604166666668,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2115049999999994,True,True,True,0.533752968225847,101,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:45:00 PDT,2026-03-27 07:40:00 PDT,2026-03-27 06:45:00 UTC,2026-03-27 14:40:00 UTC,8.0,921.8135416666668,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2123525,True,True,True,0.5465304737853929,103,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:50:00 PDT,2026-03-27 07:45:00 PDT,2026-03-27 06:50:00 UTC,2026-03-27 14:45:00 UTC,8.0,922.2458333333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.21339,True,True,True,0.5621725528626959,106,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-26 23:55:00 PDT,2026-03-27 07:50:00 PDT,2026-03-27 06:55:00 UTC,2026-03-27 14:50:00 UTC,8.0,922.6614583333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2143875,True,True,True,0.577211563830997,108,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:00:00 PDT,2026-03-27 07:55:00 PDT,2026-03-27 07:00:00 UTC,2026-03-27 14:55:00 UTC,8.0,923.1062500000002,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.215455,True,True,True,0.5933059439900563,111,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:05:00 PDT,2026-03-27 08:00:00 PDT,2026-03-27 07:05:00 UTC,2026-03-27 15:00:00 UTC,8.0,923.4322916666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2162374999999996,True,True,True,0.6051034638724534,113,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:10:00 PDT,2026-03-27 08:05:00 PDT,2026-03-27 07:10:00 UTC,2026-03-27 15:05:00 UTC,8.0,923.6208333333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2166899999999994,True,True,True,0.6119256718555638,116,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:15:00 PDT,2026-03-27 08:10:00 PDT,2026-03-27 07:15:00 UTC,2026-03-27 15:10:00 UTC,8.0,923.8093750000002,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2171425,True,True,True,0.6187478798386874,117,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:20:00 PDT,2026-03-27 08:15:00 PDT,2026-03-27 07:20:00 UTC,2026-03-27 15:15:00 UTC,8.0,923.9979166666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2175949999999998,True,True,True,0.6255700878217978,119,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:25:00 PDT,2026-03-27 08:20:00 PDT,2026-03-27 07:25:00 UTC,2026-03-27 15:20:00 UTC,8.0,924.178125,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2180275000000003,True,True,True,0.6320907617504172,121,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:30:00 PDT,2026-03-27 08:25:00 PDT,2026-03-27 07:30:00 UTC,2026-03-27 15:25:00 UTC,8.0,924.3583333333335,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.21846,True,True,True,0.6386114356790232,123,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:35:00 PDT,2026-03-27 08:30:00 PDT,2026-03-27 07:35:00 UTC,2026-03-27 15:30:00 UTC,8.0,924.5385416666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2188925,True,True,True,0.645132109607636,125,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:40:00 PDT,2026-03-27 08:35:00 PDT,2026-03-27 07:40:00 UTC,2026-03-27 15:35:00 UTC,8.0,924.71875,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.219325,True,True,True,0.6516527835362487,128,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:45:00 PDT,2026-03-27 08:40:00 PDT,2026-03-27 07:45:00 UTC,2026-03-27 15:40:00 UTC,8.0,924.9072916666668,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2197775,True,True,True,0.6584749915193657,130,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:50:00 PDT,2026-03-27 08:45:00 PDT,2026-03-27 07:50:00 UTC,2026-03-27 15:45:00 UTC,8.0,925.0958333333333,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2202299999999995,True,True,True,0.6652971995024693,132,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 00:55:00 PDT,2026-03-27 08:50:00 PDT,2026-03-27 07:55:00 UTC,2026-03-27 15:50:00 UTC,8.0,925.2760416666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2206625,True,True,True,0.6718178734310888,134,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:00:00 PDT,2026-03-27 08:55:00 PDT,2026-03-27 08:00:00 UTC,2026-03-27 15:55:00 UTC,8.0,925.4562499999998,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2210949999999996,True,True,True,0.6783385473596948,136,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:05:00 PDT,2026-03-27 09:00:00 PDT,2026-03-27 08:05:00 UTC,2026-03-27 16:00:00 UTC,8.0,925.5458333333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.22131,True,True,True,0.6815800384455988,137,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:10:00 PDT,2026-03-27 09:05:00 PDT,2026-03-27 08:10:00 UTC,2026-03-27 16:05:00 UTC,8.0,925.6447916666665,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2215475,True,True,True,0.6851607553428118,139,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:15:00 PDT,2026-03-27 09:10:00 PDT,2026-03-27 08:15:00 UTC,2026-03-27 16:10:00 UTC,8.0,925.74375,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2217849999999997,True,True,True,0.6887414722400248,141,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:20:00 PDT,2026-03-27 09:15:00 PDT,2026-03-27 08:20:00 UTC,2026-03-27 16:15:00 UTC,8.0,925.8333333333331,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2219999999999995,True,True,True,0.6919829633259221,142,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:25:00 PDT,2026-03-27 09:20:00 PDT,2026-03-27 08:25:00 UTC,2026-03-27 16:20:00 UTC,8.0,925.9229166666664,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.222215,True,True,True,0.6952244544118261,143,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:30:00 PDT,2026-03-27 09:25:00 PDT,2026-03-27 08:30:00 UTC,2026-03-27 16:25:00 UTC,8.0,926.0124999999998,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2224299999999992,True,True,True,0.6984659454977168,145,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:35:00 PDT,2026-03-27 09:30:00 PDT,2026-03-27 08:35:00 UTC,2026-03-27 16:30:00 UTC,8.0,926.1104166666664,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.222665,True,True,True,0.7020089706381317,146,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:40:00 PDT,2026-03-27 09:35:00 PDT,2026-03-27 08:40:00 UTC,2026-03-27 16:35:00 UTC,8.0,926.208333333333,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2228999999999997,True,True,True,0.7055519957785267,147,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:45:00 PDT,2026-03-27 09:40:00 PDT,2026-03-27 08:45:00 UTC,2026-03-27 16:40:00 UTC,8.0,926.3260416666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2231825,True,True,True,0.7098111642983775,153,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:50:00 PDT,2026-03-27 09:45:00 PDT,2026-03-27 08:50:00 UTC,2026-03-27 16:45:00 UTC,8.0,926.4437499999999,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2234649999999996,True,True,True,0.7140703328182151,157,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 01:55:00 PDT,2026-03-27 09:50:00 PDT,2026-03-27 08:55:00 UTC,2026-03-27 16:50:00 UTC,8.0,926.5416666666665,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2237,True,True,True,0.7176133579586234,160,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:00:00 PDT,2026-03-27 09:55:00 PDT,2026-03-27 09:00:00 UTC,2026-03-27 16:55:00 UTC,8.0,926.6687499999998,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2240049999999996,True,True,True,0.7222117522897765,165,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:05:00 PDT,2026-03-27 10:00:00 PDT,2026-03-27 09:05:00 UTC,2026-03-27 17:00:00 UTC,8.0,926.652083333333,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2239649999999993,True,True,True,0.721608684180768,164,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:10:00 PDT,2026-03-27 10:05:00 PDT,2026-03-27 09:10:00 UTC,2026-03-27 17:05:00 UTC,8.0,926.6062499999998,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2238549999999995,True,True,True,0.719950246881008,162,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:15:00 PDT,2026-03-27 10:10:00 PDT,2026-03-27 09:15:00 UTC,2026-03-27 17:10:00 UTC,8.0,926.5604166666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.223745,True,True,True,0.7182918095812546,161,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:20:00 PDT,2026-03-27 10:15:00 PDT,2026-03-27 09:20:00 UTC,2026-03-27 17:15:00 UTC,8.0,926.5145833333331,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2236349999999994,True,True,True,0.7166333722814812,159,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:25:00 PDT,2026-03-27 10:20:00 PDT,2026-03-27 09:25:00 UTC,2026-03-27 17:20:00 UTC,8.0,926.4687499999997,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2235249999999995,True,True,True,0.7149749349817212,158,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:30:00 PDT,2026-03-27 10:25:00 PDT,2026-03-27 09:30:00 UTC,2026-03-27 17:25:00 UTC,8.0,926.4229166666664,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2234149999999997,True,True,True,0.7133164976819611,156,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:35:00 PDT,2026-03-27 10:30:00 PDT,2026-03-27 09:35:00 UTC,2026-03-27 17:30:00 UTC,8.0,926.3770833333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2233049999999994,True,True,True,0.7116580603821944,155,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:40:00 PDT,2026-03-27 10:35:00 PDT,2026-03-27 09:40:00 UTC,2026-03-27 17:35:00 UTC,8.0,926.348958333333,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2232374999999993,True,True,True,0.7106403829482475,154,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:45:00 PDT,2026-03-27 10:40:00 PDT,2026-03-27 09:45:00 UTC,2026-03-27 17:40:00 UTC,8.0,926.3208333333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2231699999999996,True,True,True,0.7096227055143074,152,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:50:00 PDT,2026-03-27 10:45:00 PDT,2026-03-27 09:50:00 UTC,2026-03-27 17:45:00 UTC,8.0,926.3041666666664,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2231300000000003,True,True,True,0.7090196374053123,151,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 02:55:00 PDT,2026-03-27 10:50:00 PDT,2026-03-27 09:55:00 UTC,2026-03-27 17:50:00 UTC,8.0,926.2874999999999,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2230899999999996,True,True,True,0.708416569296297,150,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:00:00 PDT,2026-03-27 10:55:00 PDT,2026-03-27 10:00:00 UTC,2026-03-27 17:55:00 UTC,8.0,926.2708333333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2230499999999997,True,True,True,0.7078135011872952,149,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:05:00 PDT,2026-03-27 11:00:00 PDT,2026-03-27 10:05:00 UTC,2026-03-27 18:00:00 UTC,8.0,925.9416666666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2222599999999995,True,True,True,0.6959029060344507,144,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:10:00 PDT,2026-03-27 11:05:00 PDT,2026-03-27 10:10:00 UTC,2026-03-27 18:05:00 UTC,8.0,925.6124999999998,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.221469999999999,True,True,True,0.6839923108816062,138,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:15:00 PDT,2026-03-27 11:10:00 PDT,2026-03-27 10:15:00 UTC,2026-03-27 18:10:00 UTC,8.0,925.296875,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2207124999999994,True,True,True,0.6725717085673361,135,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:20:00 PDT,2026-03-27 11:15:00 PDT,2026-03-27 10:20:00 UTC,2026-03-27 18:15:00 UTC,8.0,924.9666666666667,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2199199999999997,True,True,True,0.6606234216576868,131,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:25:00 PDT,2026-03-27 11:20:00 PDT,2026-03-27 10:25:00 UTC,2026-03-27 18:20:00 UTC,8.0,924.7489583333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2193974999999995,True,True,True,0.6527458444838116,129,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:30:00 PDT,2026-03-27 11:25:00 PDT,2026-03-27 10:30:00 UTC,2026-03-27 18:25:00 UTC,8.0,924.5989583333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2190374999999993,True,True,True,0.6473182315027683,127,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:35:00 PDT,2026-03-27 11:30:00 PDT,2026-03-27 10:35:00 UTC,2026-03-27 18:30:00 UTC,8.0,924.4489583333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2186774999999996,True,True,True,0.6418906185217319,124,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:40:00 PDT,2026-03-27 11:35:00 PDT,2026-03-27 10:40:00 UTC,2026-03-27 18:35:00 UTC,8.0,924.2364583333334,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2181674999999994,True,True,True,0.6342015001319202,122,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:45:00 PDT,2026-03-27 11:40:00 PDT,2026-03-27 10:45:00 UTC,2026-03-27 18:40:00 UTC,8.0,923.8520833333333,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2172449999999997,True,True,True,0.6202932418680067,118,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:50:00 PDT,2026-03-27 11:45:00 PDT,2026-03-27 10:50:00 UTC,2026-03-27 18:45:00 UTC,8.0,923.4989583333332,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2163975,True,True,True,0.6075157363084741,114,False
util-20260327T044820Z-8523dc01,Carbon Optimization - NYISO_NYC,NYISO_NYC,2026-03-27 03:55:00 PDT,2026-03-27 11:50:00 PDT,2026-03-27 10:55:00 UTC,2026-03-27 18:50:00 UTC,8.0,923.2135416666666,0.14999999999999997,0.3599999999999999,0.0,0.3599999999999999,2.2157124999999995,True,True,True,0.5971881949417669,112,False
